Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Year,City,State
77063,38931,31.9,44957,32805,8886,22.82499807,2017,Houston,TX
77064,49578,34.7,67763,28699,5998,12.09810803,2017,Houston,TX
77065,38820,33.9,54688,29363,4252,10.95311695,2017,Houston,TX
77066,33796,33.9,61430,24354,4131,12.22334004,2017,Houston,TX
77067,33489,29,40138,17030,8266,24.68273164,2017,Houston,TX
77068,10897,39.9,80313,37718,885,8.121501331,2017,Houston,TX
77069,18238,43.5,64313,44570,1018,5.581752385,2017,Houston,TX
77070,51080,34.4,69038,35281,5962,11.67188724,2017,Houston,TX
77071,27981,36.2,49137,25669,4379,15.64990529,2017,Houston,TX
77072,62162,32.7,41041,16087,15262,24.55197709,2017,Houston,TX
77073,42780,28.6,54079,19722,6351,14.8457223,2017,Houston,TX
77074,39915,30.8,36593,16866,12349,30.93824377,2017,Houston,TX
77075,43586,29.3,50653,18932,8071,18.51741385,2017,Houston,TX
77076,35144,27.6,34842,12474,11791,33.55053494,2017,Houston,TX
77077,57757,34.8,66587,46967,5989,10.36930589,2017,Houston,TX
77078,15820,31.9,35770,14480,3463,21.89001264,2017,Houston,TX
77079,33577,39.5,98774,56154,2680,7.981654108,2017,Houston,TX
77080,45665,32.3,44386,21751,11388,24.93813643,2017,Houston,TX
77081,49059,29.7,29079,17302,19219,39.17527875,2017,Houston,TX
77082,56641,33.8,53999,30640,6999,12.35677336,2017,Houston,TX
77083,79408,33,54786,20458,11824,14.89018739,2017,Houston,TX
77084,104582,33,65617,26893,12261,11.72381481,2017,Houston,TX
77085,17981,33.8,55950,20382,2269,12.61887548,2017,Houston,TX
77086,29506,29.7,43116,15891,7426,25.16776249,2017,Houston,TX
77087,37200,30.5,35302,15306,10247,27.54569892,2017,Houston,TX
77088,56716,33.4,44472,17989,11896,20.97468087,2017,Houston,TX
77089,52699,34.7,66775,25285,5895,11.18617052,2017,Houston,TX
77090,38361,28.5,39392,21622,8783,22.89564923,2017,Houston,TX
77091,25277,35,32500,18502,7192,28.4527436,2017,Houston,TX
77092,38476,33,39921,21582,10169,26.42946252,2017,Houston,TX
77093,44428,29.6,30837,12082,16246,36.5670298,2017,Houston,TX
77094,9439,41.8,158160,67018,442,4.682699438,2017,Houston,TX
77095,72081,36.9,92175,37904,6570,9.114745911,2017,Houston,TX
77096,35465,36.3,61583,41286,5564,15.68870718,2017,Houston,TX
77098,13444,34.3,87820,80515,1144,8.509372211,2017,Houston,TX
77099,51905,31.2,38878,17460,12038,23.19237068,2017,Houston,TX
78201,47500,35.6,36844,18747,11065,23.29473684,2017,San Antonio,TX
78202,12178,30,24744,14321,4795,39.37428149,2017,San Antonio,TX
78203,6456,33.6,31058,15408,1823,28.23729864,2017,San Antonio,TX
78204,12454,37.9,41556,26829,2638,21.18194957,2017,San Antonio,TX
78205,1041,57.5,31706,40280,213,20.4610951,2017,San Antonio,TX
78207,54071,32,25517,11900,20022,37.02909138,2017,San Antonio,TX
78208,4704,32.5,25618,12150,1549,32.92942177,2017,San Antonio,TX
78209,41274,42,71538,55268,3721,9.01536076,2017,San Antonio,TX
78210,37801,35.3,36583,18306,9468,25.04695643,2017,San Antonio,TX
78211,31952,34,36202,14066,6791,21.25375563,2017,San Antonio,TX
78212,28664,38.7,42789,31511,4875,17.00739604,2017,San Antonio,TX
78213,43394,33.7,42708,23686,9056,20.8692446,2017,San Antonio,TX
78214,26013,31.7,35072,14122,7221,27.75919732,2017,San Antonio,TX
78215,2686,32.3,59078,51450,666,24.79523455,2017,San Antonio,TX
78216,41042,34,46186,29446,6555,15.97144389,2017,San Antonio,TX
78217,33803,35.3,45098,25020,6062,17.93331953,2017,San Antonio,TX
78218,35384,33.2,40406,20598,7257,20.50926973,2017,San Antonio,TX
78219,16376,31.5,32795,16793,4154,25.36638984,2017,San Antonio,TX
78220,16833,34.3,28633,15221,5072,30.13128973,2017,San Antonio,TX
78221,40249,32.9,39531,15932,9226,22.92230863,2017,San Antonio,TX
78222,24189,32.6,48033,20188,4285,17.71466369,2017,San Antonio,TX
78223,54517,32.4,40326,18075,11562,21.20806354,2017,San Antonio,TX
78224,21636,31.2,47919,16796,3909,18.06711037,2017,San Antonio,TX
78225,13933,34.9,33057,14489,4170,29.92894567,2017,San Antonio,TX
78226,6755,36.4,30199,16183,2112,31.26572909,2017,San Antonio,TX
78227,49793,30.3,38804,15653,11650,23.39686301,2017,San Antonio,TX
78228,62371,34.1,39317,17025,15927,25.53590611,2017,San Antonio,TX
78229,32338,30.6,38837,24347,7972,24.65211207,2017,San Antonio,TX
78230,45104,34.6,59170,37333,6181,13.70388436,2017,San Antonio,TX
78231,8453,44.9,77045,44680,617,7.299183722,2017,San Antonio,TX
78232,38054,39.8,70997,39705,2490,6.543333158,2017,San Antonio,TX
78233,47700,35,56174,25409,5527,11.5870021,2017,San Antonio,TX
78234,5552,20.2,62938,16070,353,6.358069164,2017,San Antonio,TX
78235,1062,31.7,65069,38171,138,12.99435028,2017,San Antonio,TX
78236,7048,20.4,73859,15661,173,2.454597049,2017,San Antonio,TX
78237,37508,34,28273,13041,11730,31.27332836,2017,San Antonio,TX
78238,25300,35.5,45463,23350,3368,13.31225296,2017,San Antonio,TX
78239,28373,38.5,59844,24769,3447,12.14887393,2017,San Antonio,TX
78240,58207,31.9,52779,28636,7824,13.44168227,2017,San Antonio,TX
78242,33219,28.2,40789,13771,8085,24.33848099,2017,San Antonio,TX
78243,413,21.2,-666666666,23838,0,0,2017,San Antonio,TX
78244,30618,32.4,60940,23254,4585,14.97485139,2017,San Antonio,TX
78245,72277,29.3,63269,21643,9817,13.58246745,2017,San Antonio,TX
78247,52885,35.5,72719,29766,4287,8.106268318,2017,San Antonio,TX
78248,14372,44.1,104132,53323,448,3.117172279,2017,San Antonio,TX
78249,56674,27.8,62747,28509,9893,17.45597629,2017,San Antonio,TX
78250,60906,34.6,64826,25909,5921,9.721538108,2017,San Antonio,TX
78251,58522,32,65172,28274,5240,8.95389768,2017,San Antonio,TX
78252,10593,31,56349,16202,836,7.892004154,2017,San Antonio,TX
78253,41188,32.5,96847,33321,2708,6.574730504,2017,San Antonio,TX
78254,56329,30.8,82330,27742,3777,6.705249516,2017,San Antonio,TX
78255,14507,37.2,120814,44718,1010,6.9621562,2017,San Antonio,TX
78256,9423,30.5,101140,49357,1782,18.91117479,2017,San Antonio,TX
78257,6107,36.9,120955,75100,447,7.319469461,2017,San Antonio,TX
